month,room_nights,room_rev,days,occ77,ADR,RevPAR
2022-06,35,226135.0,30,1.5,6461.0,98.0
2022-07,2069,11349526.0,31,86.7,5486.0,4755.0
2022-08,2231,12171054.0,31,93.5,5455.0,5099.0
2022-09,2113,11467400.0,30,91.5,5427.0,4964.0
2022-10,2084,15189196.0,31,87.3,7288.0,6363.0
2022-11,2098,12865125.0,30,90.8,6132.0,5569.0
2022-12,2150,13760556.0,31,90.1,6400.0,5765.0
2023-01,1997,12695249.0,31,83.7,6357.0,5318.0
2023-02,1940,11847081.0,28,90.0,6107.0,5495.0
2023-03,1996,12210246.0,31,83.6,6117.0,5115.0
2023-04,2000,12199368.0,30,86.6,6100.0,5281.0
2023-05,1806,11184545.0,31,75.7,6193.0,4686.0
2023-06,1548,9322448.0,30,67.0,6022.0,4036.0
2023-07,1694,10398394.0,31,71.0,6138.0,4356.0
2023-08,2030,13615264.0,31,85.0,6707.0,5704.0
2023-09,1689,10887249.0,30,73.1,6446.0,4713.0
2023-10,1830,11874698.0,31,76.7,6489.0,4975.0
2023-11,1854,12943777.0,30,80.3,6982.0,5603.0
2023-12,2048,15237794.0,31,85.8,7440.0,6384.0
2024-01,1783,12882714.0,31,74.7,7225.0,5397.0
2024-02,1839,13294759.0,29,82.4,7229.0,5954.0
2024-03,1989,14537911.0,31,83.3,7309.0,6090.0
2024-04,1978,15600699.0,30,85.6,7887.0,6754.0
2024-05,1863,14372787.0,31,78.0,7715.0,6021.0
2024-06,1587,12013389.0,30,68.7,7570.0,5201.0
2024-07,1878,13021138.0,31,78.7,6934.0,5455.0
2024-08,2041,17517045.0,31,85.5,8583.0,7339.0
2024-09,1875,13324401.0,30,81.2,7106.0,5768.0
2024-10,1911,14782168.0,31,80.1,7735.0,6193.0
2024-11,1897,15377515.0,30,82.1,8106.0,6657.0
2024-12,1962,15855365.0,31,82.2,8081.0,6642.0
2025-01,1801,13458237.0,31,75.5,7473.0,5638.0
2025-02,1731,13551008.0,28,80.3,7828.0,6285.0
2025-03,1949,16604901.0,31,81.7,8520.0,6956.0
2025-04,1886,15378280.0,30,81.6,8154.0,6657.0
2025-05,1861,16033091.0,31,78.0,8615.0,6717.0
2025-06,1790,15125221.0,30,77.5,8450.0,6548.0
2025-07,1811,14599581.0,31,75.9,8062.0,6116.0
2025-08,1929,19005465.0,31,80.8,9852.0,7962.0
2025-09,1850,14728263.0,30,80.1,7961.0,6376.0
2025-10,1970,16982658.0,31,82.5,8621.0,7115.0
2025-11,1923,18722438.0,30,83.2,9736.0,8105.0
2025-12,1955,17307675.0,31,81.9,8853.0,7251.0
2026-01,1740,13459930.0,31,72.9,7736.0,5639.0
2026-02,1624,12437423.0,28,75.3,7659.0,5769.0
2026-03,1780,15183928.0,31,74.6,8530.0,6361.0
2026-04,1811,14807216.0,30,78.4,8176.0,6410.0
2026-05,1814,15675029.0,31,76.0,8641.0,6567.0
2026-06,1706,13199830.0,30,73.9,7737.0,5714.0
2026-07,498,3769568.0,31,20.9,7569.0,1579.0
